train-logloss,train-error,valid-logloss,valid-error,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.64185524054936,0.30857142857142855,0.7023548898100853,0.5233333333333333,1742832117,,False,1,4d9b0_00000,2025-03-24_17-01-57,2.9234020709991455,2.9234020709991455,67259,Gastons-MacBook-Air.local,127.0.0.1,2.9234020709991455,1
0.6053838231733867,0.24571428571428572,0.705240109860897,0.5,1742832117,,False,2,4d9b0_00000,2025-03-24_17-01-57,0.0017631053924560547,2.9251651763916016,67259,Gastons-MacBook-Air.local,127.0.0.1,2.9251651763916016,2
0.5597216312374388,0.18714285714285714,0.7154752030968666,0.5,1742832117,,False,3,4d9b0_00000,2025-03-24_17-01-57,0.002688884735107422,2.927854061126709,67259,Gastons-MacBook-Air.local,127.0.0.1,2.927854061126709,3
0.5439423681795597,0.16857142857142857,0.7173196245729924,0.51,1742832117,,False,4,4d9b0_00000,2025-03-24_17-01-57,0.0011360645294189453,2.928990125656128,67259,Gastons-MacBook-Air.local,127.0.0.1,2.928990125656128,4
0.5119345202935593,0.14142857142857143,0.7137601274748643,0.48,1742832117,,False,5,4d9b0_00000,2025-03-24_17-01-57,0.002086162567138672,2.9310762882232666,67259,Gastons-MacBook-Air.local,127.0.0.1,2.9310762882232666,5
0.4851470782927104,0.12,0.7148762634396553,0.4766666666666667,1742832117,,False,6,4d9b0_00000,2025-03-24_17-01-57,0.0024521350860595703,2.933528423309326,67259,Gastons-MacBook-Air.local,127.0.0.1,2.933528423309326,6
0.46444393568805287,0.09571428571428571,0.7253915353616078,0.48,1742832117,,False,7,4d9b0_00000,2025-03-24_17-01-57,0.0018286705017089844,2.935357093811035,67259,Gastons-MacBook-Air.local,127.0.0.1,2.935357093811035,7
0.45515296518802645,0.08428571428571428,0.7257505915065606,0.4766666666666667,1742832117,,False,8,4d9b0_00000,2025-03-24_17-01-57,0.0022859573364257812,2.937643051147461,67259,Gastons-MacBook-Air.local,127.0.0.1,2.937643051147461,8
0.4408744546238865,0.08142857142857143,0.7354682535926501,0.48333333333333334,1742832117,,False,9,4d9b0_00000,2025-03-24_17-01-57,0.0018508434295654297,2.9394938945770264,67259,Gastons-MacBook-Air.local,127.0.0.1,2.9394938945770264,9
0.43207821799176077,0.07714285714285714,0.7365402675171693,0.4866666666666667,1742832117,checkpoint_000000,False,10,4d9b0_00000,2025-03-24_17-01-57,0.00591278076171875,2.945406675338745,67259,Gastons-MacBook-Air.local,127.0.0.1,2.945406675338745,10
0.4222829848527908,0.07142857142857142,0.7409388164182504,0.49333333333333335,1742832117,,False,11,4d9b0_00000,2025-03-24_17-01-57,0.0010671615600585938,2.9464738368988037,67259,Gastons-MacBook-Air.local,127.0.0.1,2.9464738368988037,11
0.40266113635684764,0.05285714285714286,0.7470713513592879,0.49666666666666665,1742832117,,False,12,4d9b0_00000,2025-03-24_17-01-57,0.0011181831359863281,2.94759202003479,67259,Gastons-MacBook-Air.local,127.0.0.1,2.94759202003479,12
0.39340641488986355,0.05571428571428572,0.7457955843706926,0.48333333333333334,1742832117,,False,13,4d9b0_00000,2025-03-24_17-01-57,0.0015799999237060547,2.949172019958496,67259,Gastons-MacBook-Air.local,127.0.0.1,2.949172019958496,13
0.3815060514105218,0.05142857142857143,0.7459781485795974,0.4866666666666667,1742832117,,False,14,4d9b0_00000,2025-03-24_17-01-57,0.0014481544494628906,2.950620174407959,67259,Gastons-MacBook-Air.local,127.0.0.1,2.950620174407959,14
0.37544471160109555,0.05,0.7435660153627396,0.48,1742832117,,False,15,4d9b0_00000,2025-03-24_17-01-57,0.0011970996856689453,2.951817274093628,67259,Gastons-MacBook-Air.local,127.0.0.1,2.951817274093628,15
0.3586799802418266,0.03142857142857143,0.7520609671870867,0.4766666666666667,1742832117,,False,16,4d9b0_00000,2025-03-24_17-01-57,0.003226041793823242,2.955043315887451,67259,Gastons-MacBook-Air.local,127.0.0.1,2.955043315887451,16
0.3544428729319147,0.03142857142857143,0.7549801302701235,0.4866666666666667,1742832117,,False,17,4d9b0_00000,2025-03-24_17-01-57,0.003267049789428711,2.95831036567688,67259,Gastons-MacBook-Air.local,127.0.0.1,2.95831036567688,17
0.34077877314495186,0.02571428571428571,0.7566845128188531,0.4633333333333333,1742832117,,False,18,4d9b0_00000,2025-03-24_17-01-57,0.0015931129455566406,2.9599034786224365,67259,Gastons-MacBook-Air.local,127.0.0.1,2.9599034786224365,18
0.3376917476366673,0.02714285714285714,0.7593690634270509,0.4633333333333333,1742832117,,False,19,4d9b0_00000,2025-03-24_17-01-57,0.0013511180877685547,2.961254596710205,67259,Gastons-MacBook-Air.local,127.0.0.1,2.961254596710205,19
0.3293861550837755,0.02571428571428571,0.7626957625399033,0.4666666666666667,1742832117,checkpoint_000001,False,20,4d9b0_00000,2025-03-24_17-01-57,0.004867076873779297,2.9661216735839844,67259,Gastons-MacBook-Air.local,127.0.0.1,2.9661216735839844,20
